"Date","HSE area","Key","Value"
2020-04-01,"HSE South-East","Not specified",44
2020-04-01,"HSE South","Foreign travel",19
2020-04-01,"HSE South","No Foreign travel",72
2020-04-01,"HSE South","Not specified",39
2020-04-01,"HSE West","Foreign travel",7
2020-04-01,"HSE West","No Foreign travel",57
2020-04-01,"HSE West","Not specified",2
2020-03-31,"HSE East","Foreign travel",41
2020-03-31,"HSE East","No Foreign travel",414
2020-03-31,"HSE East","Not specified",22
2020-03-31,"HSE Midlands","Foreign travel",3
2020-03-31,"HSE Midlands","No Foreign travel",22
2020-03-31,"HSE Midlands","Not specified",12
2020-03-31,"HSE Mid-West","Foreign travel",10
2020-03-31,"HSE Mid-West","No Foreign travel",39
2020-03-31,"HSE Mid-West","Not specified",10
2020-03-31,"HSE North-East","Foreign travel",2
2020-03-31,"HSE North-East","No Foreign travel",15
2020-03-31,"HSE North-East","Not specified",14
2020-03-31,"HSE North-West","Foreign travel",6
2020-03-31,"HSE North-West","No Foreign travel",12
2020-03-31,"HSE North-West","Not specified",1
2020-03-31,"HSE South-East","Foreign travel",5
2020-03-31,"HSE South-East","No Foreign travel",2
2020-03-31,"HSE South-East","Not specified",33
2020-03-31,"HSE South","Foreign travel",18
2020-03-31,"HSE South","No Foreign travel",70
2020-03-31,"HSE South","Not specified",29
2020-03-31,"HSE West","Foreign travel",7
2020-03-31,"HSE West","No Foreign travel",53
2020-03-31,"HSE West","Not specified",1
2020-03-30,"HSE East","Foreign travel",41
2020-03-30,"HSE East","No Foreign travel",367
2020-03-30,"HSE East","Not specified",11
2020-03-30,"HSE Midlands","Foreign travel",3
2020-03-30,"HSE Midlands","No Foreign travel",22
2020-03-30,"HSE Midlands","Not specified",7
2020-03-30,"HSE Mid-West","Foreign travel",8
2020-03-30,"HSE Mid-West","No Foreign travel",36
2020-03-30,"HSE Mid-West","Not specified",11
2020-03-30,"HSE North-East","Foreign travel",2
2020-03-30,"HSE North-East","No Foreign travel",14
2020-03-30,"HSE North-East","Not specified",8
2020-03-30,"HSE North-West","Foreign travel",6
2020-03-30,"HSE North-West","No Foreign travel",11
2020-03-30,"HSE North-West","Not specified",1
2020-03-30,"HSE South-East","Foreign travel",5
2020-03-30,"HSE South-East","No Foreign travel",2
2020-03-30,"HSE South-East","Not specified",31
2020-03-30,"HSE South","Foreign travel",18
2020-03-30,"HSE South","No Foreign travel",67
2020-03-30,"HSE South","Not specified",24
2020-03-30,"HSE West","Foreign travel",7
2020-03-30,"HSE West","No Foreign travel",49
2020-03-30,"HSE West","Not specified",1
2020-03-29,"HSE East","Foreign travel",45
2020-03-29,"HSE East","No Foreign travel",308
2020-03-29,"HSE East","Not specified",9
2020-03-29,"HSE Midlands","Foreign travel",3
2020-03-29,"HSE Midlands","No Foreign travel",19
2020-03-29,"HSE Midlands","Not specified",6
2020-03-29,"HSE Mid-West","Foreign travel",6
2020-03-29,"HSE Mid-West","No Foreign travel",31
2020-03-29,"HSE Mid-West","Not specified",1
2020-03-29,"HSE North-East","Foreign travel",2
2020-03-29,"HSE North-East","No Foreign travel",13
2020-03-29,"HSE North-East","Not specified",4
2020-03-29,"HSE North-West","Foreign travel",6
2020-03-29,"HSE North-West","No Foreign travel",10
2020-03-29,"HSE North-West","Not specified",0
2020-03-29,"HSE South-East","Foreign travel",5
2020-03-29,"HSE South-East","No Foreign travel",1
2020-03-29,"HSE South-East","Not specified",31
2020-03-29,"HSE South","Foreign travel",17
2020-03-29,"HSE South","No Foreign travel",58
2020-03-29,"HSE South","Not specified",19
