"Date","County","Value"
2020-04-20,"Galway",309
2020-04-20,"Kerry",268
2020-04-20,"Kildare",851
2020-04-20,"Kilkenny",216
2020-04-20,"Laois",185
2020-04-20,"Leitrim",55
2020-04-20,"Limerick",415
2020-04-20,"Longford",101
2020-04-20,"Louth",489
2020-04-20,"Mayo",339
2020-04-20,"Meath",539
2020-04-20,"Monaghan",220
2020-04-20,"Offaly",198
2020-04-20,"Roscommon",91
2020-04-20,"Sligo",97
2020-04-20,"Tipperary",320
2020-04-20,"Waterford",119
2020-04-20,"Westmeath",386
2020-04-20,"Wexford",137
2020-04-20,"Wicklow",463
2020-04-19,"Carlow",79
2020-04-19,"Cavan",403
2020-04-19,"Clare",164
2020-04-19,"Cork",1053
2020-04-19,"Donegal",392
2020-04-19,"Dublin",7781
2020-04-19,"Galway",294
2020-04-19,"Kerry",268
2020-04-19,"Kildare",822
2020-04-19,"Kilkenny",210
2020-04-19,"Laois",177
2020-04-19,"Leitrim",54
2020-04-19,"Limerick",409
2020-04-19,"Longford",94
2020-04-19,"Louth",469
2020-04-19,"Mayo",335
2020-04-19,"Meath",522
2020-04-19,"Monaghan",199
2020-04-19,"Offaly",195
2020-04-19,"Roscommon",91
2020-04-19,"Sligo",93
2020-04-19,"Tipperary",306
2020-04-19,"Waterford",117
2020-04-19,"Westmeath",377
2020-04-19,"Wexford",114
2020-04-19,"Wicklow",446
2020-04-18,"Carlow",78
2020-04-18,"Cavan",401
2020-04-18,"Clare",160
2020-04-18,"Cork",1047
2020-04-18,"Donegal",383
2020-04-18,"Dublin",7666
2020-04-18,"Galway",294
2020-04-18,"Kerry",268
2020-04-18,"Kildare",817
2020-04-18,"Kilkenny",206
2020-04-18,"Laois",170
2020-04-18,"Leitrim",49
2020-04-18,"Limerick",401
2020-04-18,"Longford",91
2020-04-18,"Louth",437
2020-04-18,"Mayo",332
2020-04-18,"Meath",513
2020-04-18,"Monaghan",187
2020-04-18,"Offaly",190
2020-04-18,"Roscommon",91
2020-04-18,"Sligo",78
2020-04-18,"Tipperary",300
2020-04-18,"Waterford",113
2020-04-18,"Westmeath",369
2020-04-18,"Wexford",100
2020-04-18,"Wicklow",444
2020-04-17,"Carlow",71
2020-04-17,"Cavan",386
2020-04-17,"Clare",153
2020-04-17,"Cork",1028
2020-04-17,"Donegal",376
2020-04-17,"Dublin",7379
2020-04-17,"Galway",283
2020-04-17,"Kerry",262
2020-04-17,"Kildare",763
2020-04-17,"Kilkenny",197
2020-04-17,"Laois",168
2020-04-17,"Leitrim",47
2020-04-17,"Limerick",384
2020-04-17,"Longford",88
2020-04-17,"Louth",405
2020-04-17,"Mayo",312
2020-04-17,"Meath",500
2020-04-17,"Monaghan",174
2020-04-17,"Offaly",187
2020-04-17,"Roscommon",76
2020-04-17,"Sligo",76
2020-04-17,"Tipperary",292
2020-04-17,"Waterford",112
2020-04-17,"Westmeath",358
2020-04-17,"Wexford",98
2020-04-17,"Wicklow",427
2020-04-16,"Carlow",69
2020-04-16,"Cavan",353
2020-04-16,"Clare",151
2020-04-16,"Cork",979
2020-04-16,"Donegal",369
2020-04-16,"Dublin",6934
2020-04-16,"Galway",273
2020-04-16,"Kerry",256
2020-04-16,"Kildare",684
2020-04-16,"Kilkenny",188
2020-04-16,"Laois",147
2020-04-16,"Leitrim",46
2020-04-16,"Limerick",382
2020-04-16,"Longford",83
2020-04-16,"Louth",406
2020-04-16,"Mayo",273
2020-04-16,"Meath",461
2020-04-16,"Monaghan",170
2020-04-16,"Offaly",177
2020-04-16,"Roscommon",74
2020-04-16,"Sligo",70
2020-04-16,"Tipperary",283
2020-04-16,"Waterford",110
2020-04-16,"Westmeath",332
2020-04-16,"Wexford",85
2020-04-16,"Wicklow",391
2020-04-15,"Carlow",59
2020-04-15,"Cavan",345
2020-04-15,"Clare",136
2020-04-15,"Cork",945
2020-04-15,"Donegal",352
2020-04-15,"Dublin",6567
2020-04-15,"Galway",266
2020-04-15,"Kerry",254
2020-04-15,"Kildare",621
2020-04-15,"Kilkenny",179
2020-04-15,"Laois",139
2020-04-15,"Leitrim",46
2020-04-15,"Limerick",343
2020-04-15,"Longford",79
2020-04-15,"Louth",384
2020-04-15,"Mayo",259
2020-04-15,"Meath",421
2020-04-15,"Monaghan",166
2020-04-15,"Offaly",171
2020-04-15,"Roscommon",61
2020-04-15,"Sligo",69
2020-04-15,"Tipperary",270
2020-04-15,"Waterford",102
2020-04-15,"Westmeath",318
2020-04-15,"Wexford",76
2020-04-15,"Wicklow",384
2020-04-14,"Carlow",59
2020-04-14,"Cavan",310
2020-04-14,"Clare",119
2020-04-14,"Cork",916
2020-04-14,"Donegal",320
2020-04-14,"Dublin",6337
2020-04-14,"Galway",260
2020-04-14,"Kerry",246
2020-04-14,"Kildare",567
2020-04-14,"Kilkenny",173
2020-04-14,"Laois",133
2020-04-14,"Leitrim",43
2020-04-14,"Limerick",307
2020-04-14,"Longford",77
2020-04-14,"Louth",350
2020-04-14,"Mayo",249
2020-04-14,"Meath",405
2020-04-14,"Monaghan",161
2020-04-14,"Offaly",163
2020-04-14,"Roscommon",57
2020-04-14,"Sligo",66
2020-04-14,"Tipperary",251
2020-04-14,"Waterford",101
2020-04-14,"Westmeath",309
2020-04-14,"Wexford",71
2020-04-14,"Wicklow",375
2020-04-13,"Carlow",53
2020-04-13,"Cavan",254
2020-04-13,"Clare",113
2020-04-13,"Cork",829
2020-04-13,"Donegal",296
2020-04-13,"Dublin",5850
2020-04-13,"Galway",237
2020-04-13,"Kerry",226
2020-04-13,"Kildare",509
2020-04-13,"Kilkenny",164
2020-04-13,"Laois",118
2020-04-13,"Leitrim",40
2020-04-13,"Limerick",285
2020-04-13,"Longford",69
2020-04-13,"Louth",236
2020-04-13,"Mayo",216
2020-04-13,"Meath",369
2020-04-13,"Monaghan",147
2020-04-13,"Offaly",150
2020-04-13,"Roscommon",50
2020-04-13,"Sligo",62
2020-04-13,"Tipperary",237
2020-04-13,"Waterford",90
2020-04-13,"Westmeath",258
2020-04-13,"Wexford",61
2020-04-13,"Wicklow",342
2020-04-12,"Carlow",44
2020-04-12,"Cavan",245
2020-04-12,"Clare",106
2020-04-12,"Cork",780
2020-04-12,"Donegal",264
2020-04-12,"Dublin",5438
2020-04-12,"Galway",220
2020-04-12,"Kerry",219
2020-04-12,"Kildare",443
2020-04-12,"Kilkenny",144
2020-04-12,"Laois",101
2020-04-12,"Leitrim",36
2020-04-12,"Limerick",265
2020-04-12,"Longford",58
2020-04-12,"Louth",208
2020-04-12,"Mayo",198
2020-04-12,"Meath",342
2020-04-12,"Monaghan",123
2020-04-12,"Offaly",144
2020-04-12,"Roscommon",48
2020-04-12,"Sligo",52
2020-04-12,"Tipperary",219
2020-04-12,"Waterford",81
2020-04-12,"Westmeath",234
2020-04-12,"Wexford",56
2020-04-12,"Wicklow",317
2020-04-11,"Carlow",38
2020-04-11,"Cavan",222
2020-04-11,"Clare",98
2020-04-11,"Cork",730
2020-04-11,"Donegal",225
2020-04-11,"Dublin",5006
2020-04-11,"Galway",197
2020-04-11,"Kerry",200
2020-04-11,"Kildare",404
2020-04-11,"Kilkenny",136
2020-04-11,"Laois",88
2020-04-11,"Leitrim",32
2020-04-11,"Limerick",252
2020-04-11,"Longford",56
